"symbol"	"prevSymbols"	"synonyms"	"name"	"refSeqName"
"602"	"MYOD1"	"MYF3"	"PUM,MYOD,BHLHC1"	"myogenic differentiation 1"	"MYOD1"
"603"	"FLT3"	""	"STK1,FLK2,CD135"	"fms related tyrosine kinase 3"	"FLT3"
"604"	"LYL1"	""	"BHLHA18"	"LYL1, basic helix-loop-helix family member"	"LYL1"
"605"	"HOXC11"	"HOX3H"	""	"homeobox C11"	"HOXC11"
"606"	"APLNR"	"AGTRL1"	"FLJ90771,APJ,APJR"	"apelin receptor"	"APLNR"
"607"	"NKX2-5"	"CSX,NKX2E"	"CSX1,NKX2.5,NKX4-1"	"NK2 homeobox 5"	"NKX2-5"
"608"	"ZNF318"	""	"HRIHFB2436,ZFP318"	"zinc finger protein 318"	"ZNF318"
"609"	"ABTB2"	""	"DKFZP586C1619,BTBD22,ABTB2A"	"ankyrin repeat and BTB domain containing 2"	"ABTB2"
"610"	"FUS"	"ALS6"	"TLS,FUS1,HNRNP-P2,HNRNPP2"	"FUS RNA binding protein"	"FUS"
"611"	"ICAM5"	"TLCN"	"TLN"	"intercellular adhesion molecule 5"	"ICAM5"
"612"	"SYNE1"	"C6ORF98"	"SYNE-1B,KIAA0796,8B,NESPRIN-1,ENAPTIN,MYNE1,CPG2,DJ45H2.2,SCAR8,ARCA1,NESP1"	"spectrin repeat containing nuclear envelope protein 1"	"SYNE1"
"613"	"UCHL5"	""	"UCH37,CGI-70,INO80R"	"ubiquitin C-terminal hydrolase L5"	"UCHL5"
"614"	"SUSD3"	""	"MGC26847"	"sushi domain containing 3"	"SUSD3"
"615"	"RNF216"	""	"TRIAD3,UBCE7IP1,ZIN"	"ring finger protein 216"	"RNF216"
"616"	"COL7A1"	"EBDCT,EBD1,EBR1"	""	"collagen type VII alpha 1 chain"	"COL7A1"
"617"	"PLD1"	""	""	"phospholipase D1"	"PLD1"
"618"	"MUC6"	""	""	"mucin 6, oligomeric mucus/gel-forming"	"MUC6"
"619"	"COL28A1"	""	""	"collagen type XXVIII alpha 1 chain"	"COL28A1"
"620"	"ZMYND8"	"PRKCBP1"	"RACK7"	"zinc finger MYND-type containing 8"	"ZMYND8"
"621"	"ADAMTSL3"	""	"KIAA1233,PUNCTIN-2"	"ADAMTS like 3"	"ADAMTSL3"
"622"	"SPECC1"	"CYTSB"	"HCMOGT-1,FLJ36955,NSP"	"sperm antigen with calponin homology and coiled-coil domains 1"	"SPECC1"
"623"	"CREB3L1"	""	"OASIS"	"cAMP responsive element binding protein 3 like 1"	"CREB3L1"
"624"	"BRD3"	""	"RING3L,ORFX,KIAA0043"	"bromodomain containing 3"	"BRD3"
"625"	"RET"	"HSCR1,MEN2A,MTC1,MEN2B"	"PTC,CDHF12,RET51,CDHR16"	"ret proto-oncogene"	"RET"
"626"	"OTX2"	""	""	"orthodenticle homeobox 2"	"OTX2"
"627"	"CLTCL1"	"CLTCL"	"CLTD,CLH22,CHC22"	"clathrin heavy chain like 1"	"CLTCL1"
"628"	"DUSP10"	""	"MKP-5,MKP5"	"dual specificity phosphatase 10"	"DUSP10"
"629"	"RLN2"	""	"H2,RLXH2,BA12D24.1.1,BA12D24.1.2"	"relaxin 2"	"RLN2"
"630"	"ADIPOR1"	""	"PAQR1,ACDCR1"	"adiponectin receptor 1"	"ADIPOR1"
"631"	"MUC16"	""	"CA125,FLJ14303"	"mucin 16, cell surface associated"	"MUC16"
"632"	"NTRK1"	""	"TRK,TRKA,MTC"	"neurotrophic receptor tyrosine kinase 1"	"NTRK1"
"633"	"REG4"	""	"REG-IV,RELP,GISP"	"regenerating family member 4"	"REG4"
"634"	"KDM6A"	"UTX"	""	"lysine demethylase 6A"	"KDM6A"
"635"	"PLAGL2"	""	"ZNF900"	"PLAG1 like zinc finger 2"	"PLAGL2"
"636"	"TGFBI"	"CSD3,LCD1,CSD1,CSD2"	"BIGH3,CDB1,CDGG1"	"transforming growth factor beta induced"	"TGFBI"
"637"	"AATF"	""	"DED,CHE-1,CHE1,BFR2"	"apoptosis antagonizing transcription factor"	"AATF"
"638"	"SBNO1"	""	"MOP3,FLJ10701,FLJ10833,SNO"	"strawberry notch homolog 1"	"SBNO1"
"639"	"SMYD3"	"ZNFN3A1,ZMYND1"	"KMT3E"	"SET and MYND domain containing 3"	"SMYD3"
"640"	"CPLX2"	""	"CPX-2,DKFZP547D155"	"complexin 2"	"CPLX2"
"641"	"PTPN13"	""	"PTP1E,PTP-BAS,PTPL1,PTP-BL"	"protein tyrosine phosphatase, non-receptor type 13"	"PTPN13"
"642"	"PSIP1"	"PSIP2"	"P52,LEDGF,P75,DFS70"	"PC4 and SFRS1 interacting protein 1"	"PSIP1"
"643"	"PLA2G2A"	"PLA2B,PLA2L"	""	"phospholipase A2 group IIA"	"PLA2G2A"
"644"	"RCC2"	""	"TD-60"	"regulator of chromosome condensation 2"	"RCC2"
"645"	"JAZF1"	""	"TIP27,DKFZP761K2222,ZNF802"	"JAZF zinc finger 1"	"JAZF1"
"646"	"ARAP2"	"CENTD1"	"PARX"	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"	"ARAP2"
"647"	"TACSTD2"	"M1S1"	"TROP2,GA733-1,EGP-1"	"tumor associated calcium signal transducer 2"	"TACSTD2"
"648"	"FGFR1"	"FLT2,KAL2"	"H2,H3,H4,H5,CEK,FLG,BFGFR,N-SAM,CD331"	"fibroblast growth factor receptor 1"	"FGFR1"
"649"	"WRAP53"	"WDR79"	"FLJ10385,TCAB1"	"WD repeat containing antisense to TP53"	"WRAP53"
"650"	"HOXA3"	"HOX1E,HOX1"	""	"homeobox A3"	"HOXA3"
"651"	"ERBB2"	"NGL"	"NEU,HER-2,CD340,HER2"	"erb-b2 receptor tyrosine kinase 2"	"ERBB2"
"652"	"CDA"	""	"CDD"	"cytidine deaminase"	"CDA"
"653"	"RAP1GDS1"	""	"SMGGDS"	"Rap1 GTPase-GDP dissociation stimulator 1"	"RAP1GDS1"
"654"	"IFI27"	""	"P27,FAM14D,ISG12"	"interferon alpha inducible protein 27"	"IFI27"
"655"	"MAFK"	""	"P18,NFE2U"	"MAF bZIP transcription factor K"	"MAFK"
"656"	"HEXIM1"	""	"CLP-1,HIS1,MAQ1,EDG1"	"hexamethylene bisacetamide inducible 1"	"HEXIM1"
"657"	"SOCS1"	""	"SOCS-1,SSI-1,JAB,TIP3,CISH1"	"suppressor of cytokine signaling 1"	"SOCS1"
"658"	"CRTC3"	""	"FLJ21868"	"CREB regulated transcription coactivator 3"	"CRTC3"
"659"	"RNF213"	"C17ORF27,KIAA1618,MYMY2"	"KIAA1554,NET57,ALO17"	"ring finger protein 213"	"RNF213"
"660"	"RASGRP2"	""	"CALDAG-GEFI"	"RAS guanyl releasing protein 2"	"RASGRP2"
"661"	"AVPI1"	""	"VIP32,PP5395,VIT32"	"arginine vasopressin induced 1"	"AVPI1"
"662"	"RUNX2"	"CCD,CBFA1,CCD1"	"AML3,PEBP2A1,PEBP2AA1"	"runt related transcription factor 2"	"RUNX2"
"663"	"MTA1"	""	""	"metastasis associated 1"	"MTA1"
"664"	"CTSH"	"CPSB"	"ACC-4,ACC-5,ACC4,ACC5"	"cathepsin H"	"CTSH"
"665"	"NUDT6"	""	"GFG-1,GFG,FGF2AS,FGF-AS"	"nudix hydrolase 6"	"NUDT6"
"666"	"KAT14"	"CSRP2BP"	"CRP2BP,DJ717M23.1,PRO1194,ATAC2"	"lysine acetyltransferase 14"	"KAT14"
"667"	"LTB"	"TNFC"	"P33,TNFSF3"	"lymphotoxin beta"	"LTB"
"668"	"NUP98"	""	"NUP96"	"nucleoporin 98"	"NUP98"
"669"	"HMGA2"	"HMGIC"	"BABL,LIPO"	"high mobility group AT-hook 2"	"HMGA2"
"670"	"ERCC2"	"XPD"	"MAG,EM9,MGC102762,MGC126218,MGC126219,TFIIH"	"ERCC excision repair 2, TFIIH core complex helicase subunit"	"ERCC2"
"671"	"SLC6A3"	"DAT1"	"DAT"	"solute carrier family 6 member 3"	"SLC6A3"
"672"	"MC2R"	""	"ACTHR"	"melanocortin 2 receptor"	"MC2R"
"673"	"HPR"	""	""	"haptoglobin-related protein"	"HPR"
"674"	"HSP90AA1"	"HSPC1,HSPCA"	"HSP89,HSP90,FLJ31884,HSP90N"	"heat shock protein 90 alpha family class A member 1"	"HSP90AA1"
"675"	"KLF3"	""	"BKLF"	"Kruppel like factor 3"	"KLF3"
"676"	"SPOP"	""	"TEF2,BTBD32"	"speckle type BTB/POZ protein"	"SPOP"
"677"	"REPS2"	""	"POB1"	"RALBP1 associated Eps domain containing 2"	"REPS2"
"678"	"BTG1"	""	"APRO2"	"BTG anti-proliferation factor 1"	"BTG1"
"679"	"SCYL1"	"NTKL"	"HT019,P105,GKLP,NKTL,TAPK,TRAP,TEIF,MGC78454"	"SCY1 like pseudokinase 1"	"SCYL1"
"680"	"BARD1"	""	""	"BRCA1 associated RING domain 1"	"BARD1"
"681"	"CDKN2C"	""	"INK4C,P18"	"cyclin dependent kinase inhibitor 2C"	"CDKN2C"
"682"	"MUC4"	""	""	"mucin 4, cell surface associated"	"MUC4"
"683"	"UBE3A"	"EPVE6AP,HPVE6A"	"AS,ANCR,E6-AP,FLJ26981"	"ubiquitin protein ligase E3A"	"UBE3A"
"684"	"DLG1"	""	"SAP97,SAP-97,HDLG,DLGH1,DJ1061C18.1.1"	"discs large MAGUK scaffold protein 1"	"DLG1"
"685"	"MSH3"	""	"DUP,MRP1"	"mutS homolog 3"	"MSH3"
"686"	"HDLBP"	"VGL"	"HBP"	"high density lipoprotein binding protein"	"HDLBP"
"687"	"PATJ"	"INADL"	"CIPP"	"PATJ, crumbs cell polarity complex component"	"PATJ"
"688"	"HKR1"	""	"ZNF875"	"HKR1, GLI-Kruppel zinc finger family member"	"HKR1"
"689"	"KMT2A"	"MLL"	"TRX1,HRX,ALL-1,HTRX1,CXXC7,MLL1A"	"lysine methyltransferase 2A"	"KMT2A"
"690"	"DICER1"	"MNG1"	"DICER,KIAA0928,K12H4.8-LIKE,HERNA"	"dicer 1, ribonuclease III"	"DICER1"
"691"	"SFRP4"	""	"FRPHE,FRP-4,FRZB-2"	"secreted frizzled related protein 4"	"SFRP4"
"692"	"MCM5"	"CDC46"	""	"minichromosome maintenance complex component 5"	"MCM5"
"693"	"TDGF1"	""	"CRIPTO,CR,CRIPTO-1"	"teratocarcinoma-derived growth factor 1"	"TDGF1"
"694"	"HDAC3"	""	"RPD3,HD3,RPD3-2"	"histone deacetylase 3"	"HDAC3"
"695"	"CASC3"	""	"MLN51,BTZ"	"CASC3, exon junction complex subunit"	"CASC3"
"696"	"SLC27A1"	""	"FATP1,FATP,MGC71751,FLJ00336,ACSVL5"	"solute carrier family 27 member 1"	"SLC27A1"
"697"	"RMND5B"	""	"FLJ22318,GID2,GID2B"	"required for meiotic nuclear division 5 homolog B"	"RMND5B"
"698"	"GIMAP7"	""	"MGC27027,IAN7"	"GTPase, IMAP family member 7"	"GIMAP7"
"699"	"MDS2"	""	""	"myelodysplastic syndrome 2 translocation associated"	"MDS2"
"700"	"CDKN3"	""	"KAP,CDI1"	"cyclin dependent kinase inhibitor 3"	"CDKN3"
"701"	"CYB5R4"	"NCB5OR"	"B5+B5R,DJ676J13.1"	"cytochrome b5 reductase 4"	"CYB5R4"
"702"	"PBX1"	""	""	"PBX homeobox 1"	"PBX1"
"703"	"NR2F1"	"ERBAL3,TFCOUP1"	"EAR-3,COUP-TFI,TCFCOUP1,SVP44,COUPTF1"	"nuclear receptor subfamily 2 group F member 1"	"NR2F1"
"704"	"B4GALT5"	""	"BETA4GALT-V"	"beta-1,4-galactosyltransferase 5"	"B4GALT5"
"705"	"MAPK7"	"PRKM7"	"BMK1,ERK5"	"mitogen-activated protein kinase 7"	"MAPK7"
"706"	"SEPT2"	"DIFF6,NEDD5"	"KIAA0158,HNEDD5,PNUTL3"	"septin 2"	"SEPT2"
"707"	"SPINT1"	""	"HAI,MANSC2"	"serine peptidase inhibitor, Kunitz type 1"	"SPINT1"
"708"	"IL3RA"	""	"CD123"	"interleukin 3 receptor subunit alpha"	"IL3RA"
"709"	"CLTC"	"CLTCL2"	"HC"	"clathrin heavy chain"	"CLTC"
"710"	"MST1R"	"RON,PTK8"	"CDW136,CD136"	"macrophage stimulating 1 receptor"	"MST1R"
"711"	"DEFB1"	""	"HBD-1,DEFB-1,DEFB101,HBD1,BD1,MGC51822"	"defensin beta 1"	"DEFB1"
"712"	"NRIP1"	""	"RIP140"	"nuclear receptor interacting protein 1"	"NRIP1"
"713"	"ABI1"	"SSH3BP1"	"E3B1,ABI-1"	"abl interactor 1"	"ABI1"
"714"	"NBL1"	""	"D1S1733E,NB,DAN,NO3,DAND1"	"neuroblastoma 1, DAN family BMP antagonist"	"NBL1"
"715"	"NRF1"	""	"EWG,ALPHA-PAL"	"nuclear respiratory factor 1"	"NRF1"
"716"	"PRRX1"	"PMX1"	"PHOX1"	"paired related homeobox 1"	"PRRX1"
"717"	"NONO"	""	"NRB54,NMT55,P54NRB,P54,PPP1R114"	"non-POU domain containing octamer binding"	"NONO"
"718"	"IGF1"	""	"IGF1A,IGFI,IGF-I"	"insulin like growth factor 1"	"IGF1"
"719"	"PFN1"	""	""	"profilin 1"	"PFN1"
"720"	"FANCC"	"FACC"	"FAC,FA3"	"Fanconi anemia complementation group C"	"FANCC"
"721"	"PAX3"	"WS1"	"HUP2"	"paired box 3"	"PAX3"
"722"	"NUP133"	""	"FLJ10814"	"nucleoporin 133"	"NUP133"
"723"	"DAB2"	""	"DOC-2"	"DAB2, clathrin adaptor protein"	"DAB2"
"724"	"RERE"	"ATN1L"	"KIAA0458,ARP,ARG,DNB1"	"arginine-glutamic acid dipeptide repeats"	"RERE"
"725"	"SDC1"	"SDC"	"CD138,SYNDECAN,SYND1"	"syndecan 1"	"SDC1"
"726"	"RSRP1"	"C1ORF63"	"DJ465N24.2.1"	"arginine and serine rich protein 1"	"RSRP1"
"727"	"FANCA"	"FACA,FANCH"	"FAA,FA-H,FAH"	"Fanconi anemia complementation group A"	"FANCA"
"728"	"PDGFRA"	""	"CD140A,PDGFR2,GAS9"	"platelet derived growth factor receptor alpha"	"PDGFRA"
"729"	"HMGA1"	"HMGIY"	""	"high mobility group AT-hook 1"	"HMGA1"
"730"	"IDH2"	""	""	"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial"	"IDH2"
"731"	"KLK5"	""	"SCTE,KLK-L2"	"kallikrein related peptidase 5"	"KLK5"
"732"	"ERCC5"	"ERCM2,XPGC"	""	"ERCC excision repair 5, endonuclease"	"ERCC5"
"733"	"SEMA4D"	"SEMAJ,C9ORF164"	"CD100,COLL-4,FLJ39737"	"semaphorin 4D"	"SEMA4D"
"734"	"IGHG1"	""	""	"immunoglobulin heavy constant gamma 1 (G1m marker)"	NA
"735"	"IL23A"	""	"SGRF,IL23P19,IL-23,IL-23A,P19"	"interleukin 23 subunit alpha"	"IL23A"
"736"	"GRIN2D"	"NMDAR2D"	"GLUN2D,EB11,NR2D"	"glutamate ionotropic receptor NMDA type subunit 2D"	"GRIN2D"
"737"	"XAF1"	""	"BIRC4BP,XIAPAF1,HSXIAPAF1"	"XIAP associated factor 1"	"XAF1"
"738"	"CTNND1"	"CTNND"	"KIAA0384,P120,P120CAS,P120CTN"	"catenin delta 1"	"CTNND1"
"739"	"KLK11"	"PRSS20"	"TLSP"	"kallikrein related peptidase 11"	"KLK11"
"740"	"DIRC1"	""	""	"disrupted in renal carcinoma 1"	"DIRC1"
"741"	"WNT3A"	""	""	"Wnt family member 3A"	"WNT3A"
"742"	"USP32"	""	"NY-REN-60,USP10"	"ubiquitin specific peptidase 32"	"USP32"
"743"	"FSCB"	"C14ORF155"	"DKFZP434F1017"	"fibrous sheath CABYR binding protein"	"FSCB"
"744"	"KCTD2"	""	"KIAA0176"	"potassium channel tetramerization domain containing 2"	"KCTD2"
"745"	"PSMA5"	""	"ZETA"	"proteasome subunit alpha 5"	"PSMA5"
"746"	"PLEK2"	""	""	"pleckstrin 2"	"PLEK2"
"747"	"TAC1"	"TAC2,NKNA"	"NPK"	"tachykinin precursor 1"	"TAC1"
"748"	"CHFR"	""	"FLJ10796,RNF196"	"checkpoint with forkhead and ring finger domains"	"CHFR"
"749"	"PTPN14"	""	"PEZ"	"protein tyrosine phosphatase, non-receptor type 14"	"PTPN14"
"750"	"RAD51B"	"RAD51L1"	"REC2,HREC2,R51H2"	"RAD51 paralog B"	"RAD51B"
"751"	"CD69"	""	"CLEC2C"	"CD69 molecule"	"CD69"
"752"	"XRCC3"	""	""	"X-ray repair cross complementing 3"	"XRCC3"
"753"	"MAGEE1"	""	"KIAA1587,DAMAGE"	"MAGE family member E1"	"MAGEE1"
"754"	"KDM2B"	"FBXL10"	"PCCX2,CXXC2,FBL10,JHDM1B"	"lysine demethylase 2B"	"KDM2B"
"755"	"APH1A"	""	"APH-1A,CGI-78"	"aph-1 homolog A, gamma-secretase subunit"	"APH1A"
"756"	"CRIP2"	""	"CRP2,ESP1"	"cysteine rich protein 2"	"CRIP2"
"757"	"DUX4"	""	""	"double homeobox 4"	"DUX4"
"758"	"GGA1"	""	""	"golgi associated, gamma adaptin ear containing, ARF binding protein 1"	"GGA1"
"759"	"PLEKHG2"	""	"CLG,FLJ00018,ARHGEF42"	"pleckstrin homology and RhoGEF domain containing G2"	"PLEKHG2"
"760"	"FUBP1"	"FUBP"	"FBP"	"far upstream element binding protein 1"	"FUBP1"
"761"	"MUC5AC"	""	"MUC5"	"mucin 5AC, oligomeric mucus/gel-forming"	"MUC5AC"
"762"	"PIM2"	""	""	"Pim-2 proto-oncogene, serine/threonine kinase"	"PIM2"
"763"	"ADGRE5"	"CD97"	"TM7LN1"	"adhesion G protein-coupled receptor E5"	"ADGRE5"
"764"	"PRKD1"	"PRKCM"	"PKCM,PKD,PKC-MU"	"protein kinase D1"	"PRKD1"
"765"	"EPHA7"	""	"HEK11"	"EPH receptor A7"	"EPHA7"
"766"	"SLC4A1"	"EPB3,AE1,DI,WD"	"RTA1A,CD233,FR,SW,WR"	"solute carrier family 4 member 1 (Diego blood group)"	"SLC4A1"
"767"	"ZFP36L1"	"BRF1"	"RNF162B,BERG36,ERF1,TIS11B,CMG1"	"ZFP36 ring finger protein like 1"	"ZFP36L1"
"768"	"DCC"	""	"IGDCC1,NTN1R1"	"DCC netrin 1 receptor"	"DCC"
"769"	"PTPA"	"PPP2R4"	"PR53"	"protein phosphatase 2 phosphatase activator"	"PPP2R4"
"770"	"BAALC"	""	""	"BAALC, MAP3K1 and KLF4 binding"	"BAALC"
"771"	"ASL"	""	""	"argininosuccinate lyase"	"ASL"
"772"	"APAF1"	""	"CED4,APAF-1"	"apoptotic peptidase activating factor 1"	"APAF1"
"773"	"NOP53"	"GLTSCR2"	"PICT-1,PICT1"	"NOP53 ribosome biogenesis factor"	"GLTSCR2"
"774"	"ABCC1"	"MRP,MRP1"	"GS-X"	"ATP binding cassette subfamily C member 1"	"ABCC1"
"775"	"PRDX1"	"PAGA"	"NKEFA"	"peroxiredoxin 1"	"PRDX1"
"776"	"CIP2A"	"KIAA1524"	""	"cell proliferation regulating inhibitor of protein phosphatase 2A"	"KIAA1524"
"777"	"RAP1A"	""	"KREV-1,SMGP21"	"RAP1A, member of RAS oncogene family"	"RAP1A"
"778"	"AGER"	""	"RAGE,SCARJ1"	"advanced glycosylation end-product specific receptor"	"AGER"
"779"	"GAB1"	""	""	"GRB2 associated binding protein 1"	"GAB1"
"780"	"TGFB2"	""	""	"transforming growth factor beta 2"	"TGFB2"
"781"	"ERRFI1"	""	"MIG-6,GENE-33,RALT"	"ERBB receptor feedback inhibitor 1"	"ERRFI1"
"782"	"FOXP1"	""	"QRF1,12CC4,HSPC215,HFKH1B"	"forkhead box P1"	"FOXP1"
"783"	"RSPO3"	"THSD2"	"FLJ14440"	"R-spondin 3"	"RSPO3"
"784"	"NOL3"	""	"ARC,NOP30,MYP,CARD2"	"nucleolar protein 3"	"NOL3"
"785"	"PLCL1"	"PLCE"	"PLC-L,PLCL,PRIP,PPP1R127"	"phospholipase C like 1 (inactive)"	"PLCL1"
"786"	"CUBN"	"MGA1"	"IFCR,GP280"	"cubilin"	"CUBN"
"787"	"COX6C"	""	""	"cytochrome c oxidase subunit 6C"	"COX6C"
"788"	"AP3M2"	""	"CLA20,AP47B"	"adaptor related protein complex 3 subunit mu 2"	"AP3M2"
"789"	"LGALS3BP"	""	"MAC-2-BP,90K,BTBD17B,TANGO10B,M2BP,GP90,CYCAP"	"galectin 3 binding protein"	"LGALS3BP"
"790"	"GADD45G"	""	"DDIT2,GADD45GAMMA,GRP17,CR6"	"growth arrest and DNA damage inducible gamma"	"GADD45G"
"791"	"CDC25C"	"CDC25"	"PPP1R60"	"cell division cycle 25C"	"CDC25C"
"792"	"GMPS"	""	"GATD7"	"guanine monophosphate synthase"	"GMPS"
"793"	"E2F1"	"RBBP3"	"RBP3"	"E2F transcription factor 1"	"E2F1"
"794"	"NCOA4"	""	"ARA70,RFG,ELE1,PTC3,DKFZP762E1112"	"nuclear receptor coactivator 4"	"NCOA4"
"795"	"MRE11"	"MRE11A"	"ATLD"	"MRE11 homolog, double strand break repair nuclease"	"MRE11A"
"796"	"DST"	"BPAG1"	"BP240,KIAA0728,FLJ21489,FLJ13425,FLJ32235,FLJ30627,CATX-15,BPA,MACF2"	"dystonin"	"DST"
"797"	"MIR125B1"	"MIRN125B1"	"HSA-MIR-125B-1"	"microRNA 125b-1"	"MIR125B1"
"798"	"CDC6"	"CDC18L"	""	"cell division cycle 6"	"CDC6"
"799"	"KSR1"	"KSR"	"RSU2"	"kinase suppressor of ras 1"	"KSR1"
"800"	"CYP7A1"	"CYP7"	""	"cytochrome P450 family 7 subfamily A member 1"	"CYP7A1"
"801"	"APEH"	"D3F15S2,DNF15S2,D3S48E"	""	"acylaminoacyl-peptide hydrolase"	"APEH"
"802"	"TNN"	""	""	"tenascin N"	"TNN"
"803"	"ABCB4"	"PGY3,MDR3"	"MDR2,PFIC-3,GBD1"	"ATP binding cassette subfamily B member 4"	"ABCB4"
"804"	"STX4"	"STX4A"	"P35-2"	"syntaxin 4"	"STX4"
"805"	"BCL11A"	"EVI9"	"BCL11A-XL,BCL11A-L,BCL11A-S,CTIP1,HBFQTL5,ZNF856"	"B cell CLL/lymphoma 11A"	"BCL11A"
"806"	"AR"	"DHTR,SBMA"	"AIS,NR3C4,SMAX1,HUMARA"	"androgen receptor"	"AR"
"807"	"TET2"	"KIAA1546"	"FLJ20032"	"tet methylcytosine dioxygenase 2"	"TET2"
"808"	"IGFBP1"	"IBP1"	"IGF-BP25,AFBP,HIGFBP-1,PP12"	"insulin like growth factor binding protein 1"	"IGFBP1"
"809"	"RUNX1"	"AML1,CBFA2"	"PEBP2A2,AMLCR1"	"runt related transcription factor 1"	"RUNX1"
"810"	"MMP11"	"STMY3"	""	"matrix metallopeptidase 11"	"MMP11"
"811"	"ABCB10"	""	"EST20237,M-ABC2,MTABC2"	"ATP binding cassette subfamily B member 10"	"ABCB10"
"812"	"SLC30A5"	""	"ZTL1,ZNT-5,FLJ12496,FLJ12756,ZNT5,MGC5499,ZNTL1"	"solute carrier family 30 member 5"	"SLC30A5"
"813"	"RUNX1T1"	"AML1T1,CBFA2T1"	"CDR,ETO,MTG8,ZMYND2"	"RUNX1 translocation partner 1"	"RUNX1T1"
"814"	"MECOM"	"MDS1,EVI1"	"MDS1-EVI1,PRDM3,KMT8E"	"MDS1 and EVI1 complex locus"	"MECOM"
"815"	"SYNE3"	"C14ORF49,LINC00341,C14ORF139,NCRNA00341"	"FLJ25605,NET53,NESPRIN-3,NESP3"	"spectrin repeat containing nuclear envelope family member 3"	"SYNE3"
"816"	"ACTL9"	""	"MGC33407"	"actin like 9"	"ACTL9"
"817"	"SNX5"	""	""	"sorting nexin 5"	"SNX5"
"818"	"SMARCB1"	"SNF5L1"	"BAF47,INI1,SNR1,HSNFS,SFH1P,RDT,PPP1R144,SNF5"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	"SMARCB1"
"819"	"CD200"	"MOX1,MOX2"	"MRC,OX-2"	"CD200 molecule"	"CD200"
"820"	"XXYLT1"	"C3ORF21"	"FLJ35155"	"xyloside xylosyltransferase 1"	"XXYLT1"
"821"	"N4BP3"	""	"LZTS4"	"NEDD4 binding protein 3"	"N4BP3"
"822"	"NFIC"	"NFI"	"CTF,NF-I,CTF5"	"nuclear factor I C"	"NFIC"
"823"	"AFDN"	"MLLT4"	"AF-6,AF6"	"afadin, adherens junction formation factor"	"MLLT4"
"824"	"FOXO4"	"MLLT7"	"AFX1"	"forkhead box O4"	"FOXO4"
"825"	"FOSB"	""	"G0S3,GOSB,GOS3,AP-1,MGC42291,DKFZP686C0818"	"FosB proto-oncogene, AP-1 transcription factor subunit"	"FOSB"
"826"	"LRIG1"	""	"LIG-1,DKFZP586O1624,LIG1"	"leucine rich repeats and immunoglobulin like domains 1"	"LRIG1"
"827"	"SRGAP3"	"SRGAP2"	"KIAA0411,MEGAP,WRP,ARHGAP14"	"SLIT-ROBO Rho GTPase activating protein 3"	"SRGAP3"
"828"	"ROBO1"	""	"DUTT1,FLJ21882,SAX3"	"roundabout guidance receptor 1"	"ROBO1"
"829"	"MCPH1"	""	"FLJ12847,BRIT1"	"microcephalin 1"	"MCPH1"
"830"	"AKT3"	""	"PKBG,RAC-GAMMA,PRKBG"	"AKT serine/threonine kinase 3"	"AKT3"
"831"	"THOC5"	"C22ORF19"	"PK1.3,KIAA0983,FMIP,FSAP79"	"THO complex 5"	"THOC5"
"832"	"EIF3E"	"INT6,EIF3S6"	"EIF3-P48,EIF3E"	"eukaryotic translation initiation factor 3 subunit E"	"EIF3E"
"833"	"PEG10"	""	"KIAA1051,HB-1,MEF3L,RGAG3,MAR2,MART2,SIRH1,RTL2"	"paternally expressed 10"	"PEG10"
"834"	"BCL2L2"	""	"KIAA0271,BCL-W,PPP1R51"	"BCL2 like 2"	"BCL2L2"
"835"	"SEL1L"	""	"IBD2,SEL1L1"	"SEL1L, ERAD E3 ligase adaptor subunit"	"SEL1L"
"836"	"ALG14"	""	"MGC19780"	"ALG14, UDP-N-acetylglucosaminyltransferase subunit"	"ALG14"
"837"	"IRF4"	"MUM1"	"LSIRF"	"interferon regulatory factor 4"	"IRF4"
"838"	"TRIM37"	"MUL"	"KIAA0898,POB1,TEF3"	"tripartite motif containing 37"	"TRIM37"
"839"	"RASSF6"	""	""	"Ras association domain family member 6"	"RASSF6"
"840"	"TSG101"	"TSG10"	"VPS23"	"tumor susceptibility 101"	"TSG101"
"841"	"HSP90AB1"	"HSPC2,HSPCB"	""	"heat shock protein 90 alpha family class B member 1"	"HSP90AB1"
"842"	"C15ORF65"	""	"FLJ27352"	"chromosome 15 open reading frame 65"	"C15ORF65"
"843"	"RAD9A"	"RAD9"	""	"RAD9 checkpoint clamp component A"	"RAD9A"
"844"	"STK38L"	""	"KIAA0965,NDR2"	"serine/threonine kinase 38 like"	"STK38L"
"845"	"IRF1"	""	"MAR"	"interferon regulatory factor 1"	"IRF1"
"846"	"FLII"	""	"FLI,FLIL,FLI1,MGC39265"	"FLII, actin remodeling protein"	"FLII"
"847"	"RBL1"	""	"P107,CP107,PRB1"	"RB transcriptional corepressor like 1"	"RBL1"
"848"	"GPX1"	""	""	"glutathione peroxidase 1"	"GPX1"
"849"	"S1PR4"	"EDG6"	""	"sphingosine-1-phosphate receptor 4"	"S1PR4"
"850"	"BMPR1A"	"ACVRLK3"	"ALK3,CD292"	"bone morphogenetic protein receptor type 1A"	"BMPR1A"
"851"	"NFATC3"	""	"NFAT4,NFATX"	"nuclear factor of activated T cells 3"	"NFATC3"
